decimalLatitude,decimalLongitude,species,eventDate,dateIdentified,depth
12.318,-69.1506,Myripristis jacobus,2014-08-19T10:26Z,2014-08-19T00:00:00,9.6
12.318,-69.1506,Diplectrum formosum,2014-08-19T10:26Z,2014-08-19T00:00:00,9.6
12.318,-69.1506,Caretta caretta,2014-08-19T10:26Z,2014-08-19T00:00:00,9.6
12.318,-69.1506,Aulostomus maculatus,2014-08-19T10:26Z,2014-08-19T00:00:00,9.6
12.2187,-69.0857,Myripristis jacobus,2014-08-16T12:57Z,2014-08-16T00:00:00,11.75
12.2187,-69.0857,Diplectrum formosum,2014-08-16T12:57Z,2014-08-16T00:00:00,11.75
12.318,-69.1506,Aulostomus maculatus,2014-08-21T11:01Z,2014-08-21T00:00:00,9.15
12.2187,-69.0857,Aulostomus maculatus,2014-08-16T12:57Z,2014-08-16T00:00:00,11.75
12.318,-69.1506,Myripristis jacobus,2014-08-21T11:01Z,2014-08-21T00:00:00,9.15
12.318,-69.1506,Caretta caretta,2014-08-21T11:01Z,2014-08-21T00:00:00,9.15
12.2187,-69.0857,Sargocentron coruscum,2014-08-16T10:31Z,2014-08-16T00:00:00,10.2
12.318,-69.1506,Diplectrum formosum,2014-08-21T11:01Z,2014-08-21T00:00:00,9.15
42.7341,10.2866,Gnathophis mystax,2014-08-18T10:58Z,2014-08-18T00:00:00,10.65
42.7341,10.2866,Sphyraena sphyraena,2014-08-18T10:58Z,2014-08-18T00:00:00,10.65
42.7341,10.2866,Epinephelus marginatus,2014-08-18T09:10Z,2014-08-18T00:00:00,11.0
42.7341,10.2866,Epinephelus marginatus,2014-08-18T10:58Z,2014-08-18T00:00:00,10.65
42.7341,10.2866,Gnathophis mystax,2014-08-18T09:10Z,2014-08-18T00:00:00,11.0
18.0488,-87.9237,Mycteroperca bonaci,2014-08-06T15:26Z,2014-08-06T00:00:00,4.115
18.0488,-87.9237,Aetobatus narinari,2014-08-06T15:26Z,2014-08-06T00:00:00,4.115
42.7341,10.2866,Sphyraena sphyraena,2014-08-18T09:10Z,2014-08-18T00:00:00,11.0
18.0488,-87.9237,Ginglymostoma cirratum,2014-08-06T15:26Z,2014-08-06T00:00:00,4.115
