scientificName,commonName
"Myripristis jacobus Cuvier, 1829",Bigeye squirrelfish
"Diplectrum formosum (Linnaeus, 1766)",Sand Perch
"Caretta caretta (Linnaeus, 1758)",Loggerhead Turtle
"Aulostomus maculatus Valenciennes, 1841",Atlantic trumpetfish
"Sargocentron coruscum (Poey, 1860)",Reef Squirrelfish
"Gnathophis mystax (Delaroche, 1809)",Black-tailed conger
"Sphyraena sphyraena (Linnaeus, 1758)",Barracuda
"Epinephelus marginatus (Lowe, 1834)",Dusky grouper
"Mycteroperca bonaci (Poey, 1860)",Black grouper
"Aetobatus narinari (Euphrasen, 1790)",Leopard ray
"Ginglymostoma cirratum (Bonnaterre, 1788)",Nurse shark
"Platax teira (Forsskål, 1775)",Batfish
"Holacanthus bermudensis Goode, 1876",Blue Angelfish
"Chelonia mydas (Linnaeus, 1758)",Green Turtle
"Sparisoma amplum (Ranzani, 1841)",Reef Parrotfish
"Acanthostracion quadricornis (Linnaeus, 1758)",Cowfish
"Abudefduf vaigiensis (Quoy & Gaimard, 1825)",Common sergeant
"Sphyraena barracuda (Edwards, 1771)",Barracuda
"Archosargus probatocephalus (Walbaum, 1792)",Sheepshead
"Alcyonium palmatum Pallas, 1766",Sea Fingers
"Pseudupeneus maculatus (Bloch, 1793)",Goatfish
"Sepia officinalis Linnaeus, 1758",Common cuttlefish
"Carangoides bartholomaei (Cuvier, 1833)",Bar Jack
"Chelonodon patoca (Hamilton, 1822)",Pufferfish
"Caranx ignobilis (Forsskål, 1775)",Giant trevally
"Macolor niger (Forsskål, 1775)",Black and white snapper
"Eretmochelys imbricata (Linnaeus, 1766)",Hawksbill Sea Turtle
"Scarus fuscocaudalis Randall & Myers, 2000",Blacktail parrotfish
"Amphiprion percula (Lacepède, 1802)",Clownfish
"Pterois volitans (Linnaeus, 1758)",Common lionfish
"Strongylura incisa (Valenciennes, 1846)",Large-scale long-tom
"Melibe viridis (Kelaart, 1858)",Giant Monkdragon
"Scorpaena notata Rafinesque, 1810",Scorpionfish
"Phyllidia varicosa Lamarck, 1801",Variable Wart Slug
"Chaetonotus napoleonicus Balsamo, Todaro & Tongiorgi, 1992",Napoleon's hairworm
"Taenianotus triacanthus Lacepède, 1802",Leaf scorpionfish
"Limulus polyphemus (Linnaeus, 1758)",Horseshoe Crab
"Aulostomus chinensis (Linnaeus, 1766)",Chinese trumpetfish
"Triaenodon obesus (Rüppell, 1837)",Blacktip reef shark
"Carcharhinus plumbeus (Nardo, 1827)",Brown shark
"Bothus ocellatus (Agassiz, 1831)",Eyed Flounder
"Taeniura lymma (Forsskål, 1775)",Blue-spotted stingray
"Perca fluviatilis Linnaeus, 1758",European perch
"Homarus americanus H.Milne Edwards, 1837",American Lobster
"Pollachius virens (Linnaeus, 1758)",Pollock
"Cancer pagurus Linnaeus, 1758",Edible Crab
"Neotrygon kuhlii (Müller & Henle, 1841)",Blue-spotted stingray
"Macropodia rostrata (Linnaeus, 1761)",Long-legged spider crab
"Conger conger (Linnaeus, 1758)",Conger eel
"Suberites ficus (Johnston, 1842)",Fig sponge
"Luidia ciliaris (Philippi, 1837)",Seven-armed Starfish
"Anguilla anguilla (Linnaeus, 1758)",European eel
"Scyliorhinus canicula (Linnaeus, 1758)",Dogfish
"Acipenser sturio Linnaeus, 1758",Atlantic Sturgeon
"Canthigaster epilampra (Jenkins, 1903)",Lantern Toby
"Cichlasoma bimaculatum (Linnaeus, 1758)",Black acara
"Canthigaster rostrata (Bloch, 1786)",Caribbean sharpnose-puffer
"Amphiprion ocellaris Cuvier, 1830",Clownfish
"Canthigaster bennetti (Bleeker, 1854)",Bennett's Toby
"Dascyllus reticulatus (Richardson, 1846)",Reticulate dascyllus
"Amphiprion frenatus Brevoort, 1856",Clark's anemonefish
"Upeneus guttatus (Day, 1868)",Spotted goatfish
"Chilomycterus reticulatus (Linnaeus, 1758)",Porcupinefish
"Amphiprion clarkii (Bennett, 1830)",Clark's anemonefish
"Amphiprion melanopus Bleeker, 1852",Black anemonefish
"Alopias pelagicus Nakamura, 1935",Bigeye thresher
