scientificName,taxonKey
"Myripristis jacobus Cuvier, 1829",2357064
"Diplectrum formosum (Linnaeus, 1766)",5210229
"Caretta caretta (Linnaeus, 1758)",8894817
"Aulostomus maculatus Valenciennes, 1841",2332595
"Sargocentron coruscum (Poey, 1860)",2356835
"Gnathophis mystax (Delaroche, 1809)",2403289
"Sphyraena sphyraena (Linnaeus, 1758)",2394271
"Epinephelus marginatus (Lowe, 1834)",2388507
"Mycteroperca bonaci (Poey, 1860)",2389013
"Aetobatus narinari (Euphrasen, 1790)",2419231
"Ginglymostoma cirratum (Bonnaterre, 1788)",2417495
"Platax teira (Forsskål, 1775)",2394312
"Holacanthus bermudensis Goode, 1876",5211460
"Chelonia mydas (Linnaeus, 1758)",2442225
"Sparisoma amplum (Ranzani, 1841)",2393931
"Acanthostracion quadricornis (Linnaeus, 1758)",2408197
"Abudefduf vaigiensis (Quoy & Gaimard, 1825)",2398634
"Sphyraena barracuda (Edwards, 1771)",9784990
"Archosargus probatocephalus (Walbaum, 1792)",2392542
"Alcyonium palmatum Pallas, 1766",5185161
"Pseudupeneus maculatus (Bloch, 1793)",2396813
"Sepia officinalis Linnaeus, 1758",2290849
"Carangoides bartholomaei (Cuvier, 1833)",5210553
"Chelonodon patoca (Hamilton, 1822)",2407317
"Caranx ignobilis (Forsskål, 1775)",2390805
"Macolor niger (Forsskål, 1775)",2385207
"Eretmochelys imbricata (Linnaeus, 1766)",8841716
"Scarus fuscocaudalis Randall & Myers, 2000",2393735
"Amphiprion percula (Lacepède, 1802)",5212094
"Pterois volitans (Linnaeus, 1758)",2334438
"Strongylura incisa (Valenciennes, 1846)",5208023
"Melibe viridis (Kelaart, 1858)",4360148
"Scorpaena notata Rafinesque, 1810",2334619
"Phyllidia varicosa Lamarck, 1801",4359788
"Chaetonotus napoleonicus Balsamo, Todaro & Tongiorgi, 1992",2254764
"Taenianotus triacanthus Lacepède, 1802",2334499
"Limulus polyphemus (Linnaeus, 1758)",1010610
"Aulostomus chinensis (Linnaeus, 1766)",2332603
"Triaenodon obesus (Rüppell, 1837)",2418054
"Carcharhinus plumbeus (Nardo, 1827)",2418009
"Bothus ocellatus (Agassiz, 1831)",5213883
"Taeniura lymma (Forsskål, 1775)",5215810
"Perca fluviatilis Linnaeus, 1758",8140485
"Homarus americanus H.Milne Edwards, 1837",5972004
"Pollachius virens (Linnaeus, 1758)",2415861
"Cancer pagurus Linnaeus, 1758",2222085
"Neotrygon kuhlii (Müller & Henle, 1841)",2419592
"Macropodia rostrata (Linnaeus, 1761)",5178697
"Conger conger (Linnaeus, 1758)",2403490
"Suberites ficus (Johnston, 1842)",2251188
"Luidia ciliaris (Philippi, 1837)",2270661
"Anguilla anguilla (Linnaeus, 1758)",5212973
"Scyliorhinus canicula (Linnaeus, 1758)",2418684
"Acipenser sturio Linnaeus, 1758",2402203
"Canthigaster epilampra (Jenkins, 1903)",2407696
"Cichlasoma bimaculatum (Linnaeus, 1758)",2371933
"Canthigaster rostrata (Bloch, 1786)",2407665
"Amphiprion ocellaris Cuvier, 1830",5212106
"Canthigaster bennetti (Bleeker, 1854)",2407713
"Dascyllus reticulatus (Richardson, 1846)",5212044
"Amphiprion frenatus Brevoort, 1856",5212111
"Upeneus guttatus (Day, 1868)",2396781
"Chilomycterus reticulatus (Linnaeus, 1758)",2406485
"Amphiprion clarkii (Bennett, 1830)",5212081
"Amphiprion melanopus Bleeker, 1852",5212069
"Alopias pelagicus Nakamura, 1935",2420809
"Acanthurus lineatus (Linnaeus, 1758)",5209244
"Laticauda colubrina (Schneider, 1799)",8374394
"Centropyge bicolor (Bloch, 1787)",2396484
"Holocentrus rufus (Walbaum, 1792)",5204777
"Sphyraena picudilla Poey, 1860",2394238
"Phoca vitulina Linnaeus, 1758",2434793
"Bodianus rufus (Linnaeus, 1758)",5209687
"Pleuronectes platessa Linnaeus, 1758",7700106
"Orthopristis chrysoptera (Linnaeus, 1766)",2382797
"Octopus Cuvier, 1798",2289226
"Chelidonichthys Kaup, 1873",2336772
"Scorpaena Linnaeus, 1758",2333694
"Lithodes maja (Linnaeus, 1758)",2224343
Nudibranchia,980
"Pomatoschistus minutus (Pallas, 1770)",2379300
"Platichthys flesus (Linnaeus, 1758)",2409330
"Mytilus edulis Linnaeus, 1758",8288896
"Aurelia aurita (Linnaeus, 1758)",2264442
"Cyanea capillata (Linnaeus, 1758)",2264478
"Astropecten irregularis (Pennant, 1777)",8236696
"Cottus gobio Linnaeus, 1758",7807208
"Micropterus salmoides (Lacepède, 1802)",2394563
"Lepomis macrochirus Rafinesque, 1819",2394503
"Dreissena bugensis (Andrusov, 1897)",2287073
"Morone saxatilis (Walbaum, 1792)",2394612
"Pareledone charcoti (Joubin, 1905)",2289480
"Ameiurus catus (Linnaeus, 1758)",2340972
"Carcharhinus perezii (Poey, 1876)",2418059
"Loligo pealeii Lesueur, 1821",2290370
"Dasyatis thetidis Ogilby, 1899",2419529
"Orectolobus maculatus (Bonnaterre, 1788)",2417541
"Panulirus argus (Latreille, 1804)",2221646
"Sepia hedleyi S.S.Berry, 1918",2290767
"Echinaster sepositus (Retzius, 1783)",2273623
"Carcharias taurus Rafinesque, 1810",2420766
"Solea solea (Linnaeus, 1758)",5214139
"Octopus vulgaris Cuvier, 1797",2289671
"Oblada melanura (Linnaeus, 1758)",2392603
"Chromis chromis (Linnaeus, 1758)",5212224
"Thalassoma pavo (Linnaeus, 1758)",2384491
"Diplodus vulgaris (Geoffroy Saint-Hilaire, 1817)",5210979
"Diplodus annularis (Linnaeus, 1758)",5210983
"Pinna nobilis Linnaeus, 1758",4374731
"Holothuria forskali Delle Chiaje, 1823",2279155
Diplodus sargus sargus,7193220
