scientificName,taxonKey,Common Name
"Myripristis jacobus Cuvier, 1829",2357064,Blackbar soldierfish
"Diplectrum formosum (Linnaeus, 1766)",5210229,Sand perch
"Caretta caretta (Linnaeus, 1758)",8894817,Loggerhead
"Aulostomus maculatus Valenciennes, 1841",2332595,Atlantic trumpetfish
"Sargocentron coruscum (Poey, 1860)",2356835,Reef squirrelfish
"Gnathophis mystax (Delaroche, 1809)",2403289,Blacktailed conger
"Sphyraena sphyraena (Linnaeus, 1758)",2394271,Barracuda
"Epinephelus marginatus (Lowe, 1834)",2388507,Dusky grouper
"Mycteroperca bonaci (Poey, 1860)",2389013,Black grouper
"Aetobatus narinari (Euphrasen, 1790)",2419231,Adlerrochen
"Ginglymostoma cirratum (Bonnaterre, 1788)",2417495,Carpet shark
"Platax teira (Forsskål, 1775)",2394312,Batfish
"Holacanthus bermudensis Goode, 1876",5211460,Blue angelfish
"Chelonia mydas (Linnaeus, 1758)",2442225,Green Sea Turtle
"Sparisoma amplum (Ranzani, 1841)",2393931,Reef parrotfish
"Acanthostracion quadricornis (Linnaeus, 1758)",2408197,Cowfish
"Abudefduf vaigiensis (Quoy & Gaimard, 1825)",2398634,Indo-Pacific sergeant
"Sphyraena barracuda (Edwards, 1771)",9784990,Amerikanischer Pfeilhecht
"Archosargus probatocephalus (Walbaum, 1792)",2392542,Sheepshead
"Alcyonium palmatum Pallas, 1766",5185161,Mediterranean sea-fingers
"Pseudupeneus maculatus (Bloch, 1793)",2396813,Goatfish
"Sepia officinalis Linnaeus, 1758",2290849,Common Cuttlefish
"Carangoides bartholomaei (Cuvier, 1833)",5210553,No common name found
"Chelonodon patoca (Hamilton, 1822)",2407317,Gangetic blow fish
"Caranx ignobilis (Forsskål, 1775)",2390805,Barrier trevally
"Macolor niger (Forsskål, 1775)",2385207,Black and white snapper
"Eretmochelys imbricata (Linnaeus, 1766)",8841716,Hawksbill
"Scarus fuscocaudalis Randall & Myers, 2000",2393735,Black-tail parrotfish
"Amphiprion percula (Lacepède, 1802)",5212094,Clown anemonefish
"Pterois volitans (Linnaeus, 1758)",2334438,Butterfly cod
