scientificName,taxonKey,Vernacular Names List,commonName
"Myripristis jacobus Cuvier, 1829",2357064,"['Baga-baga', 'Bagsang', 'Bartolito', 'Bastard soldierfish', 'Big-eyed squirrelfish', 'Big-eyed squirrelfish', 'Bigeye squirrelfish', 'Blackbar Soldierfish', 'Blackbar soldierfish', 'Blackbar soldierfish', 'Blackbar soldierfish', 'Blackbar soldierfish', 'Blackbar soldierfish', 'Blackbar soldierfish', 'Blackbar soldierfish', 'Blackbar soldierfish', 'Blackbar soldierfish', 'Brother Jim', 'Buffalohead', 'Candil']",Bigeye squirrelfish
"Diplectrum formosum (Linnaeus, 1766)",5210229,"['Arenero', 'Bolo', 'Canguito', 'Jacundá', 'Jacundá', 'Margarida', 'Michole', 'Michole-da-areia', 'Michole-de-areia', 'Michole-de-areia', 'Michole-de-areia-listrado', 'Mixole', 'Mixole-da-areia', 'Mixole-de-areia', 'Sand Perch', 'Sand perch', 'Sand perch', 'Sand perch', 'Sand perch', 'Sand perch']",Sand Perch
"Caretta caretta (Linnaeus, 1758)",8894817,"['Avó-de-Aruanã', 'Avó-de-Aruanã', 'Cabeça-Grande', 'Cabeça-Grande', 'Cabeçuda', 'Cabeçuda', 'Caguama', 'Caguama', 'Careba-Amarela', 'Careba-Dura', 'Careba-Dura', 'Careba-amarela', 'Carebadura', 'Carebadura', 'Loggerhead', 'Loggerhead', 'Loggerhead', 'Loggerhead', 'Loggerhead (Sea) Turtle', 'Loggerhead (sea) Turtle']",Loggerhead Turtle
"Aulostomus maculatus Valenciennes, 1841",2332595,"['Atlantic trumpetfish', 'Atlantic trumpetfish', 'Caribbean trumpetfish', 'Corneta', 'Corneta', 'Corneta', 'Corneta', 'Fifer', 'Gefleckter Trompetfisch', 'Kirju torukala', 'Peixe-trombeta', 'Plettet trompetfisk', 'Trombeta', 'Trompa', 'Trompet', 'Trompeta', 'Trompeta', 'Trompeta', 'Trompeta del Atlántico', 'Trompeta pintada']",Atlantic trumpetfish
"Sargocentron coruscum (Poey, 1860)",2356835,"['Candil rayado', 'Candil rayado', 'Carajuelo', 'Carajuelo', 'Carajuelo de arrecife', 'Carajuelo de arrecife', 'Conga tony', 'Matajuelo', 'Matejuelo', 'Miss darlington', 'Reef Squirrelfish', 'Reef squirrelfish', 'Reef squirrelfish', 'Reef squirrelfish', 'Reef squirrelfish', 'Reef squirrelfish', 'Reef squirrelfish', 'Reef squirrelfish', 'Rev-egernfisk', 'Shining squirrelfish']",Reef Squirrelfish
"Gnathophis mystax (Delaroche, 1809)",2403289,"['Black tailed conger', 'Blacktailed conger', 'Blacktailed conger', 'Buttacanali', 'Cicirusmiru masculinu', 'Cirrusmirru masculinu', 'Congre bec-fin', 'Congre bec-fin', 'Congre bec-fin', 'Congre dolç', 'Congrio', 'Congrio dulce', 'Congrio dulce', 'Coreano', 'Coreano', 'Fidomougri', 'Grongo nasuto', 'Grongo nasuto', 'Grungu di fangu', 'Kongermurena']",Black-tailed conger
"Sphyraena sphyraena (Linnaeus, 1758)",2394271,"['Alluzz', 'Alluzz', 'Aluzzi', 'Aluzzo', ""Aluzzo 'mperiale"", 'Aluzzu', 'Asfirna', 'Babayuti', 'Barakuda', 'Barakuda', 'Barakuda skaram', 'Barakuda skaram', 'Barracuda', 'Barracuda', 'Barracuda', 'Barracuda', 'Barracuda', 'Barracuda', 'Barracuda', 'Barracuda']",Barracuda
"Epinephelus marginatus (Lowe, 1834)",2388507,"['Awro', 'Brauner Zackenbarsch', 'Brauner Zackenbarsch', 'Brun Havsabborre', 'Cabot noir', 'Cabot noir', 'Cerna', 'Cerna', 'Cernia', 'Cernia', 'Cernia', 'Cernia bruna', 'Cernia bruna', 'Cherne', 'Dialakh', 'Duskey grouper', 'Dusky grouper', 'Dusky grouper', 'Dusky grouper', 'Dusky grouper']",Dusky grouper
"Mycteroperca bonaci (Poey, 1860)",2389013,"['Abade bonaci', 'Abadejo', 'Aguaji', 'Aguaji', 'Aguají', 'Aguají', 'Badejo', 'Badejo-ferro', 'Badejo-preto', 'Badejo-quadrado', 'Badejo-quadrado', 'Badèche bonaci', 'Badèche bonaci', 'Black Gouper', 'Black Grouper', 'Black Rockfish', 'Black gouper', 'Black grouper', 'Black grouper', 'Black grouper']",Black grouper
"Aetobatus narinari (Euphrasen, 1790)",2419231,"[""'Ei'ei manu"", 'Adlerrochen', 'Aigle de mer', 'Aigle de mer léopard', 'Aigle de mer tacheté', 'Aigle de mer tacheté, Raie léopard, Raie noire', 'Aigle de mer tachetée', 'Ajeru', 'Ajuru', 'Arendskoprog', 'Arraia', 'Arraia-bico-de-viúva', 'Arraia-capote', 'Arraia-chita', 'Arraia-chita-de-viuva', 'Arraia-fita-de-viúva', 'Arraia-malhada', 'Arraia-morcego', 'Arraia-pinta-de-manga', 'Arraia-pintada']",Leopard ray
