Animal ID,Animal Name
0,Squirrelfish
1,Groupers
2,Sea turtles
3,Trumpetfish
4,Congers
5,Barracudas
6,Eagle rays
7,Nurse sharks
8,Saddleback fish
9,Angelfish
10,Parrotfish
11,Boxfish
12,Damselfish
13,Porgies
14,Soft corals
15,Goatfish
16,Cuttlefish
17,Jackfish
18,Pufferfish
19,Snapper
20,Scorpionfish
21,Needlefish
22,Tethys fish
23,Sea slugs
24,Chaetonotids
25,Horseshoe crabs
26,Requiem sharks
27,Flatfish
28,Stingrays
29,Perch family
30,Lobster
31,Cod family
32,Cancer crabs
33,Spider crabs
34,Sponges
35,Luidia
36,Eels
37,Catsharks
38,Sturgeons
39,Cichlids
40,Thresher sharks
41,Surgeonfish
42,Elapids
43,Seals
44,Wrasses
45,Flounders
46,Grunts
47,Octopuses
48,Sculpins
49,King crabs
50,Gobies
51,Mussels
52,Eelpouts
53,Moon jellyfish
54,Sand stars
55,Sunfish
56,Dreissenid mussels
57,Drums
58,Megalodon
59,Catfish
60,Squid
61,Carpet sharks
62,Lobsters
63,Starfish
64,Sand tiger sharks
65,Soles
66,Pinnae
67,Sea cucumbers
68,Sea anemones
69,Weever fish
70,Fanworms
71,Cardinalfish
72,Pike
73,Hermit crabs
74,Wolf fish
75,Pipefish
76,Butterflyfish
77,Carps and minnows
78,Moray eels
79,Rockfish
80,Heart urchins
81,Squat lobsters
82,Scallops
83,Whale sharks
84,Cods
85,Skates
86,Saber-toothed blennies
87,Triggerfish
88,Leatherjacket fish
89,Eel blennies
90,Swimming crabs
91,Box crabs
92,Toadfish
93,Anglerfish
94,Remoras
95,Calycid fishes
96,Rhinid fish
97,Hammerhead sharks
98,African tetras
99,Clionid sponges
100,Mullets
101,Seahorse family
102,Metridid fish
103,Crawfish
104,Dorid nudibranchs
105,Bullhead sharks
106,Pistol shrimp
107,Snapping shrimp
108,Sea sponges
109,Blennies
110,Limpets
111,Redfishes
112,Star corals
113,Dendronotid nudibranchs
114,Portuguese man o' war
115,Fireworms
116,Pencilfish
117,Cockatoo cuttlefish
118,Mantis shrimp
119,Fire corals
120,Sixgill sharks
121,Glassfish
122,Jawfish
123,Sandperch
124,Pencil fish
125,Flatheads
126,Tarpons
127,Gorgonian corals
128,Lizardfish
129,Bonefish
130,Mackerel
131,Frogfishes
132,Prawns
133,Oweniid worms
134,Brain corals
135,Sea urchins
136,Mud crabs
137,Oceanic whitetip sharks
138,Chimeras
139,Coral trout
