,user_id,preferred_regions,preferred_animals,preferred_types,preferred_clusters
0,1,"['Canary Islands', 'Romania']","[264, 72]","['Wreck', 'Pinnacle']","[2, 1]"
1,2,"['South Korea', 'Denmark']","[414, 223]","['Pool', 'River']","[0, 7]"
2,3,"['Cyprus', 'Russia']","[185, 424]","['Beach', 'Cave', 'Channel']","[0, 6]"
3,4,"['Tanzania', 'Philippines', 'Canary Islands']","[321, 29, 382]","['Lake', 'Ocean']","[0, 6]"
4,5,"['Honduras', 'Mauritius', 'Bonaire']","[275, 451, 350]","['Lake', 'Pinnacle', 'Ocean']","[1, 7]"
5,6,"['Philippines', 'Puerto Rico']","[324, 133, 232]","['River', 'Wreck']","[2, 0]"
6,7,"['Egypt', 'Jamaica']","[66, 387, 140]","['Channel', 'Fjord', 'River']","[7, 3]"
7,8,"['Chagos Archipelago', 'Saint Kitts and Nevis', 'Chile']","[287, 359, 304]","['Spring', 'Muck', 'Archaeological']","[2, 5]"
8,9,"['Gibraltar', 'France', 'Qatar']","[458, 33, 448]","['Ocean', 'Quarry']","[7, 3]"
9,10,"['Argentina', 'Italy', 'Slovakia']","[139, 173, 100]","['Wall', 'Sandy bottom']","[4, 7]"
10,11,"['Ireland', 'Northern Mariana Islands', 'Andaman and Nicobar']","[199, 382, 488]","['Wall', 'Sandy bottom', 'Cavern']","[7, 6]"
11,12,"['Fiji', 'Egypt']","[292, 385, 142]","['Pinnacle', 'River', 'Sandy bottom']","[4, 1]"
12,13,"['France', 'Jordan', 'Thailand']","[32, 428, 63]","['Archaeological', 'River']","[1, 0]"
13,14,"['Saint Vincent and the Grenadines', 'Luxembourg', 'Australia']","[218, 203]","['Sandy bottom', 'Cave']","[3, 0]"
14,15,"['Curacao', 'Federated States Of Micronesia', 'India']","[409, 27]","['Cave', 'Ocean']","[1, 5]"
15,16,"['El Salvador', 'Bahamas']","[224, 486, 100]","['Channel', 'Quarry']","[0, 3]"
16,17,"['Qatar', 'Aruba']","[134, 77]","['Quarry', 'Archaeological', 'Pool']","[5, 1]"
17,18,"['Niue', 'Mozambique']","[291, 148]","['Cavern', 'Channel']","[0, 3]"
18,19,"['Saint Vincent and the Grenadines', 'Trinidad and Tobago', 'Cyprus']","[357, 404, 227]","['Archaeological', 'Spring']","[3, 5]"
19,20,"['Madagascar', 'Virgin Islands', 'Philippines']","[152, 126, 225]","['Reef', 'Cavern', 'Lake']","[5, 6]"
20,21,"['Portugal', 'Cambodia']","[39, 295]","['Sea Loch', 'Fjord', 'Muck']","[6, 7]"
21,22,"['Greece', 'Argentina']","[203, 491]","['Sea Loch', 'Spring']","[0, 1]"
22,23,"['Australia', 'Bahamas', 'Qatar']","[310, 185]","['Ocean', 'Muck', 'Wall']","[7, 6]"
23,24,"['Kuwait', 'Madeira', 'France']","[121, 462]","['Ocean', 'Drift', 'Pinnacle']","[5, 7]"
24,25,"['Madeira', 'Sint-Eustatius', 'United Kingdom']","[90, 172, 251]","['Drift', 'Pinnacle']","[6, 0]"
25,26,"['Mexico', 'Jamaica']","[21, 451]","['Lake', 'Quarry']","[3, 7]"
26,27,"['Greece', 'Honduras']","[346, 268]","['Reef', 'Beach']","[1, 7]"
27,28,"['Guadeloupe', 'Romania', 'Poland']","[106, 224]","['Archaeological', 'Channel', 'River']","[4, 1]"
28,29,"['Madagascar', 'Peru', 'Vanuatu']","[462, 13]","['Lake', 'Spring']","[4, 6]"
29,30,"['Qatar', 'Luxembourg', 'Saint Kitts and Nevis']","[352, 261, 42]","['Reef', 'Quarry', 'Sea Loch']","[4, 2]"
30,31,"['Madagascar', 'Cambodia']","[381, 57]","['Ocean', 'Pool']","[6, 4]"
31,32,"['Brazil', 'Indonesia', 'Mauritius']","[27, 36, 285]","['Wall', 'Ocean', 'Muck']","[2, 4]"
32,33,"['Mauritius', 'Peru', 'Saudi Arabia']","[292, 146]","['Wall', 'Sea Loch']","[2, 1]"
33,34,"['Federated States Of Micronesia', 'Italy']","[276, 292]","['Fjord', 'Channel', 'Cavern']","[0, 4]"
34,35,"['Grenada', 'Norway', 'Portugal']","[310, 252, 105]","['Channel', 'Cave']","[6, 2]"
35,36,"['Puerto Rico', 'Libya']","[201, 321, 38]","['Cavern', 'Beach']","[1, 5]"
36,37,"['Chile', 'Costa Rica', 'Malaysia']","[27, 256]","['Cavern', 'Cave', 'Sea Loch']","[2, 6]"
37,38,"['Azores', 'Guam', 'Egypt']","[58, 312]","['Archaeological', 'Ocean']","[5, 4]"
38,39,"['United Arab Emirates', 'Curacao']","[500, 381]","['Beach', 'Spring', 'Fjord']","[0, 2]"
39,40,"['Brunei', 'Vietnam']","[448, 403, 462]","['Reef', 'Quarry', 'Muck']","[1, 4]"
40,41,"['Egypt', 'Russia']","[59, 303]","['Cavern', 'Lake', 'Archaeological']","[1, 7]"
41,42,"['Sweden', 'France']","[176, 409, 482]","['Wall', 'River']","[6, 0]"
42,43,"['Curacao', 'El Salvador']","[305, 160, 295]","['Lake', 'Cavern']","[5, 0]"
43,44,"['Greece', 'Romania']","[183, 279]","['Wall', 'Sandy bottom', 'River']","[2, 1]"
44,45,"['China', 'Belize', 'Cambodia']","[268, 468]","['Wall', 'Pinnacle']","[1, 3]"
45,46,"['Aruba', 'Cape Verde', 'Papua New Guinea']","[337, 206, 278]","['Ocean', 'Sandy bottom', 'Muck']","[0, 6]"
46,47,"['Bulgaria', 'Guam', 'Virgin Islands']","[176, 481]","['Sea Loch', 'Channel']","[0, 2]"
47,48,"['Slovenia', 'Australia', 'Sweden']","[366, 47]","['Fjord', 'Quarry']","[2, 0]"
48,49,"['Saint Kitts and Nevis', 'Turkey']","[225, 109]","['Channel', 'Sea Loch', 'Muck']","[1, 7]"
49,50,"['Greece', 'Azerbaijan']","[385, 307]","['Archaeological', 'Channel']","[2, 0]"
50,51,"['Austria', 'United States', 'Guam']","[282, 69, 294]","['Beach', 'Cavern']","[5, 2]"
51,52,"['Hawaii', 'Chagos Archipelago']","[262, 67]","['Archaeological', 'Fjord', 'Sandy bottom']","[1, 3]"
52,53,"['Vanuatu', 'Bulgaria']","[363, 7]","['Lake', 'Cave']","[2, 7]"
53,54,"['Saba', 'Philippines', 'Keeling Islands']","[409, 233]","['Wall', 'River']","[4, 3]"
54,55,"['Venezuela', 'Iceland', 'Malta']","[88, 217, 471]","['Ocean', 'Pool']","[3, 0]"
55,56,"['Benin', 'Luxembourg']","[127, 379, 200]","['Beach', 'Fjord', 'Ocean']","[1, 7]"
56,57,"['Mexico', 'Federated States Of Micronesia']","[277, 64]","['Muck', 'Archaeological', 'Sandy bottom']","[2, 0]"
57,58,"['Galapagos', 'East Timor', 'New Zealand']","[84, 302, 317]","['Drift', 'Ocean']","[7, 1]"
58,59,"['Palau', 'Canary Islands', 'Reunion']","[492, 155]","['Cavern', 'Pinnacle']","[1, 7]"
59,60,"['Bonaire', 'Maldives']","[298, 292, 323]","['Spring', 'Beach', 'Pool']","[1, 0]"
60,61,"['Peru', 'Vanuatu']","[403, 127, 316]","['Pinnacle', 'Drift', 'Wall']","[4, 7]"
61,62,"['Slovakia', 'Sint-Eustatius', 'South Korea']","[218, 185]","['Spring', 'Pool', 'Muck']","[4, 7]"
62,63,"['New Zealand', 'Romania', 'Slovenia']","[60, 458, 234]","['Pinnacle', 'Wreck']","[2, 3]"
63,64,"['Argentina', 'Azores', 'Niue']","[482, 88]","['Lake', 'Fjord']","[3, 1]"
64,65,"['Belgium', 'Taiwan']","[210, 395, 171]","['Sea Loch', 'Fjord', 'Cave']","[7, 5]"
65,66,"['Hungary', 'Peru']","[96, 152, 187]","['Pool', 'Archaeological', 'Cavern']","[1, 6]"
66,67,"['Qatar', 'Saba', 'Mauritius']","[403, 482, 33]","['Spring', 'Drift']","[0, 6]"
67,68,"['Jordan', 'Niue', 'Trinidad and Tobago']","[348, 108]","['Beach', 'Spring', 'Quarry']","[6, 2]"
68,69,"['Montenegro', 'Vanuatu', 'Brunei']","[5, 447, 135]","['Ocean', 'Drift']","[4, 5]"
69,70,"['Chagos Archipelago', 'Cayman Islands', 'Galapagos']","[49, 234]","['Wreck', 'Archaeological']","[4, 0]"
70,71,"['Maldives', 'Colombia']","[318, 154]","['River', 'Sea Loch']","[3, 2]"
71,72,"['Colombia', 'Jordan']","[374, 372, 302]","['Pool', 'River']","[3, 4]"
72,73,"['Hawaii', 'Portugal']","[3, 307]","['Lake', 'Ocean']","[5, 4]"
73,74,"['Slovakia', 'Sint-Maarten', 'Guam']","[15, 369, 70]","['Reef', 'Cave']","[3, 2]"
74,75,"['Senegal', 'Fiji', 'Canada']","[327, 248]","['Beach', 'Muck', 'Wreck']","[7, 6]"
75,76,"['Norway', 'Panama']","[252, 487]","['Muck', 'Drift', 'Wreck']","[2, 6]"
76,77,"['United Arab Emirates', 'Malta']","[231, 338]","['Beach', 'River']","[5, 4]"
77,78,"['Sint-Maarten', 'Brunei']","[330, 75, 64]","['Wall', 'Spring', 'Muck']","[7, 0]"
78,79,"['Keeling Islands', 'Andaman and Nicobar', 'Oman']","[285, 393, 134]","['Ocean', 'River']","[1, 4]"
79,80,"['Bonaire', 'Slovakia', 'Kenya']","[60, 253]","['Wreck', 'Ocean']","[0, 6]"
80,81,"['Malaysia', 'Poland']","[98, 405]","['Pool', 'Muck']","[7, 3]"
81,82,"['Guam', 'Andaman and Nicobar', 'New Zealand']","[176, 393]","['Sandy bottom', 'Wall', 'Archaeological']","[3, 7]"
82,83,"['Guadeloupe', 'Virgin Islands', 'Oman']","[19, 391, 324]","['Channel', 'Ocean']","[1, 2]"
83,84,"['Jersey', 'Qatar']","[376, 189]","['River', 'Fjord']","[7, 3]"
84,85,"['Curacao', 'China', 'Russia']","[73, 392]","['Ocean', 'Sea Loch']","[3, 2]"
85,86,"['Canary Islands', 'Taiwan', 'Kuwait']","[309, 186]","['Drift', 'Lake', 'Sandy bottom']","[0, 5]"
86,87,"['Vietnam', 'Indonesia', 'Northern Mariana Islands']","[351, 203]","['River', 'Sea Loch']","[7, 6]"
87,88,"['Vietnam', 'Iceland', 'Canary Islands']","[102, 325]","['Beach', 'River', 'Archaeological']","[3, 7]"
88,89,"['Panama', 'Malta', 'Puerto Rico']","[393, 462]","['Cave', 'River']","[0, 6]"
89,90,"['Hungary', 'Keeling Islands']","[59, 292]","['Sandy bottom', 'River']","[4, 1]"
90,91,"['Peru', 'New Zealand']","[161, 253]","['Pool', 'Pinnacle', 'Archaeological']","[1, 6]"
91,92,"['Bonaire', 'Finland']","[27, 269, 238]","['Ocean', 'Spring', 'Reef']","[3, 4]"
92,93,"['Egypt', 'Latvia', 'Curacao']","[83, 104, 288]","['Sandy bottom', 'Spring', 'Lake']","[3, 5]"
93,94,"['Sint-Maarten', 'Ireland', 'Iceland']","[457, 379]","['Archaeological', 'Channel', 'Sandy bottom']","[3, 2]"
94,95,"['Canary Islands', 'Virgin Islands']","[345, 251, 471]","['Drift', 'Pool', 'Sea Loch']","[2, 6]"
95,96,"['Andaman and Nicobar', 'Philippines', 'Luxembourg']","[36, 425]","['Pinnacle', 'Wall', 'Ocean']","[6, 5]"
96,97,"['Chagos Archipelago', 'Madagascar']","[243, 424]","['Archaeological', 'Pinnacle', 'Quarry']","[6, 5]"
97,98,"['Malta', 'Bermuda', 'Saint Kitts and Nevis']","[17, 421]","['Wall', 'Archaeological']","[4, 6]"
98,99,"['Sint-Maarten', 'Germany']","[23, 259]","['Sandy bottom', 'Wall']","[5, 7]"
99,100,"['Gibraltar', 'Sweden', 'French Polynesia']","[279, 231, 479]","['Pinnacle', 'Spring']","[7, 3]"
100,101,"['Sudan', 'Vanuatu']","[281, 280, 98]","['Muck', 'Channel']","[7, 3]"
101,102,"['Romania', 'Dominican Republic', 'Greece']","[255, 296, 345]","['Cavern', 'Sea Loch']","[3, 7]"
102,103,"['Brunei', 'Costa Rica']","[458, 170, 4]","['Beach', 'Pinnacle', 'Spring']","[3, 2]"
103,104,"['Brunei', 'Brazil']","[380, 29]","['Reef', 'Sandy bottom', 'Fjord']","[3, 7]"
104,105,"['Brunei', 'Guam']","[499, 452, 47]","['Quarry', 'Channel', 'River']","[4, 6]"
105,106,"['Senegal', 'Curacao', 'Trinidad and Tobago']","[350, 374]","['Quarry', 'Cave', 'Beach']","[5, 7]"
106,107,"['Indonesia', 'Taiwan', 'Iceland']","[73, 262]","['Channel', 'Wreck', 'Lake']","[4, 6]"
107,108,"['Madeira', 'Aruba', 'Galapagos']","[466, 428]","['Ocean', 'Wreck']","[1, 7]"
108,109,"['Switzerland', 'Denmark', 'Azerbaijan']","[85, 202, 441]","['Pinnacle', 'Wall', 'Cave']","[6, 2]"
109,110,"['Benin', 'Costa Rica']","[96, 122]","['Sea Loch', 'Lake']","[3, 0]"
110,111,"['Keeling Islands', 'Palau', 'Mozambique']","[65, 244, 184]","['Lake', 'Wreck', 'Drift']","[3, 2]"
111,112,"['Egypt', 'Malaysia']","[354, 380]","['Wreck', 'Muck']","[6, 5]"
112,113,"['Cyprus', 'Indonesia']","[243, 18, 209]","['Quarry', 'Sandy bottom']","[1, 5]"
113,114,"['Republic of Mauritius', 'Chagos Archipelago']","[495, 450, 303]","['Muck', 'Lake']","[4, 6]"
114,115,"['Republic of Mauritius', 'Chagos Archipelago', 'Barbados']","[13, 10, 473]","['Cave', 'Drift', 'Pinnacle']","[1, 0]"
115,116,"['Panama', 'Canada', 'Norway']","[59, 287]","['Fjord', 'Wreck', 'Reef']","[1, 2]"
116,117,"['Indonesia', 'Curacao']","[457, 411]","['Reef', 'Wreck', 'Channel']","[4, 6]"
117,118,"['Malta', 'Montenegro']","[419, 496]","['Pinnacle', 'Reef', 'Quarry']","[6, 4]"
118,119,"['Philippines', 'Italy', 'Thailand']","[92, 376, 163]","['Sea Loch', 'Reef', 'Wall']","[6, 2]"
119,120,"['India', 'Costa Rica', 'Dominica']","[106, 273]","['Cave', 'Cavern']","[4, 0]"
120,121,"['Grenada', 'Bulgaria']","[43, 483]","['Lake', 'Sea Loch']","[4, 5]"
121,122,"['French Polynesia', 'Canary Islands', 'Luxembourg']","[229, 132]","['Sandy bottom', 'Pinnacle', 'Muck']","[3, 5]"
122,123,"['Benin', 'Palau']","[244, 411]","['Sandy bottom', 'Sea Loch']","[0, 2]"
123,124,"['Niue', 'Russia', 'Saint Vincent and the Grenadines']","[68, 267, 395]","['Archaeological', 'Cave', 'Quarry']","[0, 2]"
124,125,"['Malta', 'Qatar']","[64, 145]","['Channel', 'Cave']","[2, 4]"
125,126,"['Dominican Republic', 'Puerto Rico', 'Finland']","[240, 26]","['Channel', 'Wreck', 'Sea Loch']","[5, 2]"
126,127,"['Netherlands', 'East Timor']","[176, 95]","['Pinnacle', 'Muck', 'Quarry']","[6, 0]"
127,128,"['Reunion', 'Latvia']","[354, 82, 266]","['Sea Loch', 'Pinnacle', 'Lake']","[6, 3]"
128,129,"['Dominican Republic', 'Turkey']","[389, 56, 288]","['Fjord', 'Cavern', 'Quarry']","[7, 6]"
129,130,"['Cayman Islands', 'Egypt', 'Andaman and Nicobar']","[281, 321, 107]","['Muck', 'Pinnacle']","[4, 6]"
130,131,"['Italy', 'Maldives', 'Vietnam']","[165, 107, 470]","['Quarry', 'Ocean']","[2, 3]"
131,132,"['Reunion', 'Sweden']","[102, 177]","['Sea Loch', 'Archaeological']","[2, 0]"
132,133,"['Chile', 'Aruba']","[382, 421, 292]","['Cavern', 'Ocean', 'Channel']","[6, 1]"
133,134,"['Barbados', 'Keeling Islands', 'Saba']","[475, 404, 188]","['River', 'Pinnacle']","[2, 0]"
